uid,name,type,city,priority,followers,note
7716940453,地下偶像相关揭示板,资讯,全国,0,289000,娱乐博主
6575590128,偶像揭示板,资讯,全国,0,3109,
7942032742,男地偶相关揭示板,资讯,全国,0,2825,
7979064606,地偶万事屋,资讯,全国,0,,地偶万能投稿bot（替代未找到的地下偶像相关BOT）
7876864012,偶像坐标,巡回企划,多城,0,12000,偶像坐标IDM偶像团体
6884549195,经停在嘉禾望岗,资讯,广州,0,451000,娱乐博主
7798271066,湖北地下偶像相关bot,资讯,湖北,0,,区域资讯bot，搜索意外发现
7925328421,世界树剧场,场地+主办,上海,1,10000,
9074759793,Douding_Project,主办,上海,1,320,
7567655435,Ok_Air_Project,厂牌/主办,上海,1,60000,Ok Air Project官方微博
7940110513,Giant偶像事务所,厂牌,北京,1,328,
6060665889,Stardust星尘_Official,厂牌,北京,1,53000,Stardust星尘偶像事务所
6094880219,Fusion-Official,厂牌,北京,1,,Fusion厂牌（旗下Lumos荧光计划/iNe爱恩亿/G2-MOVE），替代未直接命中的Lumos官号
7881505150,星海Starumi_Project,团体+主办,大连,1,312,星海StarumiProject官方微博
7890648982,流星偶像事务所,厂牌,待确认,1,3353,
7929840325,STARRY_ENTERTAINMENT,厂牌,成都,1,18000,STARRY偶像团体
7894711132,ion离子事务所,厂牌,成都,1,9903,iON离子事务所
7405547076,Mystic偶像企划,厂牌,武汉,1,9531,Mystic偶像企划
5603058452,UFO偶像事务所,厂牌,福州,1,143000,UFO偶像事务所官方微博
7853232559,采梦YUMETORI,团体,上海,2,68000,YUMETORI少女偶像团体
7609933320,地偶男团SUMIF_official,团体,上海,2,1609,上海地偶男团SUMIF官方账号
7729790835,TrueMask-Official,团体,上海,2,54000,
7016575353,KD-8ik_official,团体,云南,2,37000,KD-8ik偶像团体
6187022787,WiSugar_Official,团体,北京,2,50000,UFO偶像事务所旗下Wi Sugar偶像团
6264660185,混沌猫舍JerkCats,团体,北京,2,256,
7117031969,恋恋Renren-StarHoney,成员,广州,2,203000,StarHoney偶像团体成员
7901112897,StarHoneyOfficial,团体,广州,2,73000,StarHoney女子偶像团体
7750479149,Revolu5tar_,团体,广州,2,423,
7972399092,破晓_official,团体,广州,2,2185,
7977661987,曙星AkeboshiFlash,团体,广州,2,2440,曙星AkeboshiFlash女子偶像团体
7813960086,IS学园_official,团体,广州,2,249,
9007588352,陨星VoidDive_Official,团体,成都,2,787,陨星VoidDive偶像团体
6606722960,静電気Seidenki,团体,成都,2,5731,静電気Seidenki偶像团体
7903571189,-加载中_Loading-,团体,杭州,2,1238,
7907969376,游夢Somnium,团体,武汉,2,224,游夢Somnium偶像团体
7793876248,BINGO_official,团体,武汉,2,6826,
6327317610,三角星StarTrigon,团体,济南,2,625,
7842507288,ZeroK-Official,团体,石家庄,2,183,
6517629246,躲猫猫PEEKABOO_,团体,重庆,2,14000,躲猫猫PEEKABOO偶像团体
6670371323,HelluTa地狱之歌_official,团体,重庆,2,9685,修正：官号带_official后缀，浮世梦事务所旗下
6122892285,透明教室与平行女孩,团体,长沙,2,41000,优酷《草莓星球来的人》嘉宾
7420743583,Fruits_水果篮子,团体,长沙,2,6823,Fruits水果篮子偶像团体
7926989456,白泠Mio-StarHoney,成员,广州,3,75000,StarHoney
7494069127,梦梦Yumeri-StarHoney,成员,广州,3,68000,StarHoney
7328542495,小唯Yui-StarHoney,成员,广州,3,105000,StarHoney
7276382905,兔兔Poppy-StarHoney,成员,广州,3,79000,StarHoney
7611960814,理理Riri-StarHoney,成员,广州,3,41000,StarHoney
7914459375,Kira-躲猫猫PEEKABOO,成员,重庆,3,16000,躲猫猫PEEKABOO
8283964497,草草Izumi-躲猫猫PEEKABOO,成员,重庆,3,379,躲猫猫PEEKABOO
7912281467,璃歌Uta-躲猫猫PEEKABOO,成员,重庆,3,437,躲猫猫PEEKABOO
7943233558,想想Ayane-躲猫猫PEEKABOO,成员,重庆,3,53000,躲猫猫PEEKABOO
7794045925,茶桃Momoko-躲猫猫PEEKABOO,成员,重庆,3,50000,躲猫猫PEEKABOO
7273882151,透明教室里的让阿尔贝海德格尔,成员,长沙,3,33000,透明教室与平行女孩
7892352865,透明教室里的朝夕,成员,长沙,3,321,透明教室与平行女孩
6413303708,透明教室里的莉莉飞船,成员,长沙,3,23000,透明教室与平行女孩
7494793914,透明教室里的银,成员,长沙,3,24000,透明教室与平行女孩
7575976271,阿植Ue-WiSugar,成员,北京,3,45000,WiSugar 团长
7753297687,涵涵Kirarin-WiSugar,成员,北京,3,39000,WiSugar
7427695559,YUMETORI-眠,成员,上海,3,151000,采梦YUMETORI
7747479835,YUMETORI-鱼鱼,成员,上海,3,149000,采梦YUMETORI
7853388193,YUMETORI-小绫,成员,上海,3,130000,采梦YUMETORI
7491493350,YUMETORI-彩虹,成员,上海,3,80000,采梦YUMETORI
7854851138,YUMETORI-小野,成员,上海,3,157000,采梦YUMETORI
7870695236,YUMETORI-诺里,成员,上海,3,44000,采梦YUMETORI
7870445125,YUMETORI-略略,成员,上海,3,49000,采梦YUMETORI
6381021301,YUMETORI-小容,成员,上海,3,106000,采梦YUMETORI
7527534121,TrueMask-Yuki,成员,上海,3,162000,TrueMask 队长
7735097702,TrueMask-Nochichi,成员,上海,3,76000,TrueMask
7768995196,TrueMask-Misa,成员,上海,3,66000,TrueMask
7444546072,TrueMask-hecate,成员,上海,3,45000,TrueMask
7255514445,Truemask-Meme,成员,上海,3,2015,TrueMask
